Gene stable ID,Gene name
ENSRNOG00000046741,Itsn2
ENSRNOG00000013225,Crisp2
ENSRNOG00000032310,AABR07004183.1
ENSRNOG00000033030,AABR07072440.1
ENSRNOG00000019592,Iqca
ENSRNOG00000011745,Psma1
ENSRNOG00000001271,Card6
ENSRNOG00000020821,LOC108348122
ENSRNOG00000021274,Fermt1
ENSRNOG00000014187,Igf1r
ENSRNOG00000016100,AABR07058934.1
ENSRNOG00000003210,Olr1463
ENSRNOG00000004438,Cntn1
ENSRNOG00000000963,Tmem132c
ENSRNOG00000042229,AC099444.2
ENSRNOG00000009431,Tbc1d4
ENSRNOG00000057118,Olr1316
ENSRNOG00000014743,Hagh
ENSRNOG00000010821,Ankrd54
ENSRNOG00000015304,Tmem160
ENSRNOG00000015359,Arhgap40
ENSRNOG00000013906,Gpat2
ENSRNOG00000054681,LOC108348042
ENSRNOG00000022669,Cd177
ENSRNOG00000003194,AABR07040622.1
ENSRNOG00000010492,Sp2
ENSRNOG00000048917,LOC100909604
ENSRNOG00000008518,Gsg1
ENSRNOG00000016710,AABR07028779.1
ENSRNOG00000001964,Cd47
ENSRNOG00000015636,Wdr34
ENSRNOG00000021578,Wfikkn1
ENSRNOG00000013241,Cyp2c24
ENSRNOG00000057550,AABR07061964.1
ENSRNOG00000046040,LOC100911586
ENSRNOG00000019177,Psd2
ENSRNOG00000008394,Prg2
ENSRNOG00000048210,Tpcr12
ENSRNOG00000045989,Hba-a3
ENSRNOG00000005730,Pcmtd1
ENSRNOG00000004192,Arhgap30
ENSRNOG00000006004,Phc2
ENSRNOG00000027938,Jcad
ENSRNOG00000012218,Poteg
ENSRNOG00000013103,Ldhc
ENSRNOG00000022619,Fth1
ENSRNOG00000021048,AC095693.1
ENSRNOG00000024330,Ngp
ENSRNOG00000039404,AABR07017662.1
ENSRNOG00000006033,LOC100910790
ENSRNOG00000013110,Nudt2
ENSRNOG00000017963,AABR07001099.1
ENSRNOG00000011471,Fgf9
ENSRNOG00000014288,Fn1
ENSRNOG00000026898,Zbtb8b
ENSRNOG00000042424,Olr880
ENSRNOG00000000104,Thoc3
ENSRNOG00000006068,Tmem117
ENSRNOG00000053812,LOC103689947
ENSRNOG00000015416,Nabp1
ENSRNOG00000015716,Gp2
ENSRNOG00000058943,Olr1082
ENSRNOG00000032552,Zfp799
ENSRNOG00000015235,Fra10ac1
ENSRNOG00000031769,Chchd7
ENSRNOG00000015502,Mfsd14a
ENSRNOG00000009773,Elovl4
ENSRNOG00000017876,Dnajc21
ENSRNOG00000004521,Prpf39
ENSRNOG00000014154,Ilf2
ENSRNOG00000045610,AABR07055760.1
ENSRNOG00000021913,Nlrp9
ENSRNOG00000002657,Pla2g4a
ENSRNOG00000021085,Sf1
ENSRNOG00000013889,Tmed3
ENSRNOG00000054322,AABR07025051.3
ENSRNOG00000060995,AABR07043711.2
ENSRNOG00000015909,Olr108
ENSRNOG00000026157,Pnpla4
ENSRNOG00000013372,Shisal2b
ENSRNOG00000017113,Ccnt2
ENSRNOG00000024630,Igsf23
ENSRNOG00000046188,Olr115
ENSRNOG00000016638,Gnb1
ENSRNOG00000011909,Rasa2
ENSRNOG00000058402,AABR07010570.1
ENSRNOG00000010930,Usp39
ENSRNOG00000032817,Vom1r46
ENSRNOG00000009564,Prr15
ENSRNOG00000014282,Cebpe
ENSRNOG00000047314,Tk1
ENSRNOG00000047313,Olr1405
ENSRNOG00000011178,Lrp2bp
ENSRNOG00000020066,Pcdhb11
ENSRNOG00000005045,Ppp2r5e
ENSRNOG00000007038,Cntn5
ENSRNOG00000051946,U6
ENSRNOG00000012604,Swsap1
ENSRNOG00000036404,AABR07026777.1
ENSRNOG00000021119,Pdcd2l
ENSRNOG00000016687,Ssc5d
ENSRNOG00000057537,Snora5c
ENSRNOG00000055519,AABR07002868.1
ENSRNOG00000051929,Phox2b
ENSRNOG00000056927,U6
ENSRNOG00000061218,Olr1662
ENSRNOG00000056879,AABR07044593.2
ENSRNOG00000003866,Cxcr4
ENSRNOG00000061736,Gm22284
ENSRNOG00000061526,Rsph6a
ENSRNOG00000036260,Mir497
ENSRNOG00000035461,Mirlet7c2
ENSRNOG00000023951,Tbc1d30
ENSRNOG00000052873,Npnt
ENSRNOG00000043137,Lbhd2
ENSRNOG00000059245,Rad51b
ENSRNOG00000054972,Olr62
ENSRNOG00000044264,5S_rRNA
ENSRNOG00000020411,Sec23ip
ENSRNOG00000000979,Bri3bp
ENSRNOG00000056492,AABR07040463.1
ENSRNOG00000025745,Gpr17
ENSRNOG00000031208,Mgat1
ENSRNOG00000013969,Ahi1
ENSRNOG00000019243,Glb1l
ENSRNOG00000054571,AABR07004227.1
ENSRNOG00000016177,Scara3
ENSRNOG00000029558,Pabpn1l
ENSRNOG00000058062,AABR07054063.1
ENSRNOG00000007680,Fhl5
ENSRNOG00000056611,U6
ENSRNOG00000002134,Gbp6
ENSRNOG00000052711,7SK
ENSRNOG00000052775,RGD1305938
ENSRNOG00000060631,U6
ENSRNOG00000011484,AABR07049821.1
ENSRNOG00000030145,RGD1561667
ENSRNOG00000054249,AABR07051939.1
ENSRNOG00000010516,Plau
ENSRNOG00000049185,AABR07061005.1
ENSRNOG00000047493,Slco1a4
ENSRNOG00000059718,U6
ENSRNOG00000017348,Il2
ENSRNOG00000046694,AABR07026342.1
ENSRNOG00000004421,Rxylt1
ENSRNOG00000038758,Defb30
ENSRNOG00000053488,U6
ENSRNOG00000048410,AABR07063672.1
ENSRNOG00000054604,AABR07047750.1
ENSRNOG00000031485,Dpp3
ENSRNOG00000060871,U6
ENSRNOG00000001090,Stard13
ENSRNOG00000007256,Necab1
ENSRNOG00000053308,U6
ENSRNOG00000054903,AABR07014690.1
ENSRNOG00000061263,AABR07050283.2
ENSRNOG00000052453,AABR07019254.1
ENSRNOG00000059727,U6
ENSRNOG00000028299,Triml2
ENSRNOG00000055081,AABR07052048.1
ENSRNOG00000058266,AABR07054025.2
ENSRNOG00000041566,AABR07000220.1
ENSRNOG00000051888,AABR07007775.1
ENSRNOG00000008800,Olr1621
ENSRNOG00000004075,Ccdc42
ENSRNOG00000047712,Dcx
ENSRNOG00000055250,AABR07009373.2
ENSRNOG00000056772,Col4a6
ENSRNOG00000058435,U1
ENSRNOG00000053060,Zfc3h1
ENSRNOG00000061178,AABR07013764.3
ENSRNOG00000003931,Arsg
ENSRNOG00000048494,AABR07042012.1
ENSRNOG00000025608,Lrat
ENSRNOG00000007345,Amot
ENSRNOG00000045914,Taar7d
ENSRNOG00000054732,AABR07050717.1
ENSRNOG00000026564,Ptpdc1
ENSRNOG00000015117,Lrrc39
ENSRNOG00000054518,SNORA70
ENSRNOG00000007663,LOC100911372
ENSRNOG00000058151,LOC100361793
ENSRNOG00000015895,B4galt6
ENSRNOG00000044767,5S_rRNA
ENSRNOG00000014838,Glipr2
ENSRNOG00000058149,U1
ENSRNOG00000017130,Rhd
ENSRNOG00000037795,Ldlrad1
ENSRNOG00000035854,5S_rRNA
ENSRNOG00000055928,U6
ENSRNOG00000018940,Slc28a1
ENSRNOG00000052376,Bend6
ENSRNOG00000003620,Fmo3
ENSRNOG00000061880,U6
ENSRNOG00000053411,Olr1475
ENSRNOG00000033584,LOC362921
ENSRNOG00000013867,Fgf1
ENSRNOG00000021041,Fam171a2
ENSRNOG00000058257,U6
ENSRNOG00000039954,RGD1308751
ENSRNOG00000015669,Kctd11
ENSRNOG00000050894,AABR07025973.1
ENSRNOG00000050999,Mir149
ENSRNOG00000052655,U4
ENSRNOG00000011330,Ces2a
ENSRNOG00000051804,AABR07060792.1
ENSRNOG00000007493,Xrcc2
ENSRNOG00000006998,Fhl4
ENSRNOG00000058875,U6
ENSRNOG00000051714,SNORA70
ENSRNOG00000017737,Dgkz
ENSRNOG00000010714,Fgl1
ENSRNOG00000059528,U6
ENSRNOG00000012965,Themis2
ENSRNOG00000031440,Nova1
ENSRNOG00000049423,AABR07054319.2
ENSRNOG00000025100,Ikbke
ENSRNOG00000014658,Zfp423
ENSRNOG00000036429,Mir551b
ENSRNOG00000001243,Zcchc8
ENSRNOG00000036526,AC095650.1
ENSRNOG00000020620,Ppp1r32
ENSRNOG00000010805,Fabp4
ENSRNOG00000004632,Pmch
ENSRNOG00000060791,AABR07051348.2
ENSRNOG00000048130,LOC100911725
ENSRNOG00000055845,AC105648.6
ENSRNOG00000052135,U7
ENSRNOG00000058628,Vom1r96
ENSRNOG00000006395,Tldc2
ENSRNOG00000035521,Mir187
ENSRNOG00000036287,AABR07006742.1
ENSRNOG00000048760,AABR07047219.1
ENSRNOG00000021912,Gpr152
ENSRNOG00000060627,SNORD62
ENSRNOG00000044997,5S_rRNA
ENSRNOG00000015290,Tpi1
ENSRNOG00000005362,Rab3ip
ENSRNOG00000018385,Chrm1
ENSRNOG00000032570,Smc1b
ENSRNOG00000060965,AC117118.1
ENSRNOG00000009233,Ankrd49
ENSRNOG00000055753,SNORD116
ENSRNOG00000019301,Lipm
ENSRNOG00000003956,Arhgap6
ENSRNOG00000004127,Cep170
ENSRNOG00000051970,Aqp5
ENSRNOG00000046444,AABR07004949.1
ENSRNOG00000057771,U6
ENSRNOG00000031331,Fpr3
ENSRNOG00000032131,AABR07043514.1
ENSRNOG00000003555,Olr1597
ENSRNOG00000056842,AABR07001018.4
ENSRNOG00000048303,AABR07037270.1
ENSRNOG00000012514,Abhd17b
ENSRNOG00000036562,Mir374b
ENSRNOG00000026912,Scgb3a2
ENSRNOG00000048508,Olr1278
ENSRNOG00000059592,LOC103689960
ENSRNOG00000057819,AABR07010022.2
ENSRNOG00000020412,Sf3b2
ENSRNOG00000006126,Nup88
ENSRNOG00000041395,AABR07065114.1
ENSRNOG00000045726,Olr310
ENSRNOG00000056573,AABR07052643.1
ENSRNOG00000028381,AABR07032255.1
ENSRNOG00000059149,AABR07030498.1
ENSRNOG00000003443,Klf1
ENSRNOG00000048041,AABR07025350.1
ENSRNOG00000060165,AABR07034502.2
ENSRNOG00000052390,AABR07014897.1
ENSRNOG00000024535,Zzef1
ENSRNOG00000019232,RGD1311345
ENSRNOG00000045851,AC135454.1
ENSRNOG00000052649,AABR07008309.1
ENSRNOG00000043125,Olr881
ENSRNOG00000011747,Tmem205
ENSRNOG00000054520,AABR07049032.1
ENSRNOG00000056008,AABR07036318.1
ENSRNOG00000013247,Olr823
ENSRNOG00000032542,LOC108350501
ENSRNOG00000008467,Agbl2
ENSRNOG00000012204,LOC100294508
ENSRNOG00000059018,5_8S_rRNA
ENSRNOG00000061271,AC098180.2
ENSRNOG00000016953,Chst4
ENSRNOG00000051772,AABR07027272.1
ENSRNOG00000048800,AABR07031756.1
ENSRNOG00000008898,Trmt44
ENSRNOG00000057705,AC118963.2
ENSRNOG00000052605,U6
ENSRNOG00000050632,LOC100912543
ENSRNOG00000059416,AC115159.2
ENSRNOG00000051504,AABR07003380.1
ENSRNOG00000019719,Kcna5
ENSRNOG00000048418,Svs3a
ENSRNOG00000041490,AABR07068084.2
ENSRNOG00000053578,AC135766.1
ENSRNOG00000031956,Cldn34c4
ENSRNOG00000060535,U6
ENSRNOG00000061375,AC135822.4
ENSRNOG00000001566,AABR07033579.1
ENSRNOG00000015085,Dmpk
ENSRNOG00000053286,AABR07014317.1
ENSRNOG00000048460,AC129054.2
ENSRNOG00000057414,U6
ENSRNOG00000042758,Tmem243
ENSRNOG00000003905,Nsf
ENSRNOG00000024470,Lman1
ENSRNOG00000061584,AABR07013439.1
ENSRNOG00000023917,AABR07034362.1
ENSRNOG00000020907,Zp1
ENSRNOG00000053322,U1
ENSRNOG00000001157,Umodl1
ENSRNOG00000027478,Krtap11-1
ENSRNOG00000049239,AABR07017006.1
ENSRNOG00000004968,Ncapg2
ENSRNOG00000051520,AABR07070802.1
ENSRNOG00000029466,RGD1562608
ENSRNOG00000061676,AABR07046713.3
ENSRNOG00000059645,AABR07054705.2
ENSRNOG00000027836,Kcnmb3
ENSRNOG00000007681,Brd3
ENSRNOG00000058135,AABR07045403.1
ENSRNOG00000013133,Foxa2
ENSRNOG00000061726,AABR07061577.1
ENSRNOG00000047185,Eif3i
ENSRNOG00000058670,LOC100911383
ENSRNOG00000055043,LOC102550872
